name                                                                            , rating, reviews, Type_Location                                                                     , Top_rated_for
TCS                                                                             ,    3.3, (1.1L) , IT Services & Consulting | Bengaluru +444 other locations                         , Job Security
Accenture                                                                       ,    3.7, (73.7k), IT Services & Consulting | Bengaluru +259 other locations                         , "Promotions, Salary, Work Satisfaction"
Wipro                                                                           ,    3.6, (65.3k), IT Services & Consulting | Hyderabad +373 other locations                         , "Promotions, Salary, Work Satisfaction"
Cognizant                                                                       ,    3.7, (61.7k), IT Services & Consulting | Hyderabad +232 other locations                         , "Promotions, Salary, Work Satisfaction"
Capgemini                                                                       ,    3.6, (53.6k), IT Services & Consulting | Bengaluru +182 other locations                         , "Work Life Balance, Job Security"
HDFC Bank                                                                       ,    3.8, (52.7k), Banking | Mumbai +1853 other locations                                            , "Job Security, Skill Development"
Infosys                                                                         ,    3.5, (49k)  , IT Services & Consulting | Bengaluru +246 other locations                         , Job Security
HCLTech                                                                         ,    3.4, (46.2k), IT Services & Consulting | Chennai +231 other locations                           , "Promotions, Salary, Work Satisfaction"
ICICI Bank                                                                      ,    4.0, (46.1k), Banking | Mumbai +1445 other locations                                            , "Job Security, Promotions, Skill Development"
Tech Mahindra                                                                   ,    3.4, (43.5k), IT Services & Consulting | Hyderabad +321 other locations                         , "Promotions, Salary, Work Satisfaction"
Genpact                                                                         ,    3.6, (42.5k), Analytics & KPO | Hyderabad +181 other locations                                  , Job Security
TP                                                                              ,    3.9, (38.8k), BPO | Mumbai +256 other locations                                                 , "Work Life Balance, Job Security, Skill Development"
Jio                                                                             ,    4.4, (33.7k), Telecom | Mumbai +1958 other locations                                            , "Job Security, Skill Development, Company Culture"
Axis Bank                                                                       ,    3.6, (33.4k), Banking | Mumbai +1523 other locations                                            , "Promotions, Work Satisfaction, Company Culture"
Concentrix Corporation                                                          ,    3.6, (32.4k), BPO | Bengaluru +183 other locations                                              , Job Security
Amazon                                                                          ,    3.9, (31.6k), Internet | Bengaluru +516 other locations                                         , "Company Culture, Work Life Balance, Salary"
Reliance Retail                                                                 ,    3.9, (27.4k), Retail | Mumbai +1161 other locations                                             , "Job Security, Skill Development, Work Life Balance"
iEnergizer                                                                      ,    4.6, (27.2k), BPO | Noida +53 other locations                                                   , "Salary, Company Culture, Work Life Balance"
LTIMindtree                                                                     ,    3.6, (26.6k), IT Services & Consulting | Bengaluru +145 other locations                         , "Promotions, Salary, Work Satisfaction"
IBM                                                                             ,    3.9, (25.9k), IT Services & Consulting | Bengaluru +162 other locations                         , "Work Life Balance, Company Culture, Job Security"
HDB Financial Services                                                          ,    3.9, (25.8k), NBFC | Mumbai +1093 other locations                                               , "Job Security, Skill Development"
Larsen & Toubro Limited                                                         ,    3.9, (24k)  , Engineering & Construction | Chennai +771 other locations                         , "Job Security, Skill Development, Salary"
Deloitte                                                                        ,    3.7, (23.3k), Management Consulting | Hyderabad +182 other locations                            , "Promotions, Work Life Balance, Work Satisfaction"
Kotak Mahindra Bank                                                             ,    3.6, (22.5k), Banking | Mumbai +691 other locations                                             , "Promotions, Work Satisfaction, Company Culture"
Reliance Industries                                                             ,    4.0, (20.3k), Oil & Gas | Jamnagar +820 other locations                                         , "Job Security, Work Life Balance, Skill Development"
Vodafone Idea                                                                   ,    3.9, (17.6k), Telecom | Pune +706 other locations                                               , "Salary, Company Culture, Work Life Balance"
Bharti Airtel                                                                   ,    3.8, (17.1k), Telecom | Gurugram +794 other locations                                           , Promotions
BYJU'S                                                                          ,    3.2, (16.4k), EdTech | Bengaluru +321 other locations                                           , "Job Security, Company Culture, Work Life Balance"
WNS                                                                             ,    3.3, (15.3k), IT Services & Consulting | Pune +66 other locations                               , "Promotions, Salary, Work Satisfaction"
IDFC FIRST Bank                                                                 ,    3.9, (14.7k), Banking | Mumbai +731 other locations                                             , "Salary, Work Life Balance, Skill Development"
Ernst & Young                                                                   ,    3.4, (14.6k), Management Consulting | Bengaluru +135 other locations                            , "Promotions, Work Life Balance, Work Satisfaction"
IndusInd Bank                                                                   ,    3.4, (14.3k), Banking | Mumbai +799 other locations                                             , "Promotions, Company Culture, Work Satisfaction"
AU Small Finance Bank                                                           ,    3.8, (14.3k), Banking | Jaipur +803 other locations                                             , Salary
Tata Motors                                                                     ,    4.1, (14.2k), Automobile | Pune +506 other locations                                            , "Job Security, Company Culture, Work Life Balance"
Muthoot FinCorp                                                                 ,    4.5, (13.2k), NBFC | Bengaluru +1121 other locations                                            , "Company Culture, Work Life Balance, Job Security"
Bajaj Finserv                                                                   ,    4.0, (13.2k), NBFC | Pune +1197 other locations                                                 , "Salary, Skill Development, Job Security"
Flipkart                                                                        ,    3.9, (13k)  , Internet | Bengaluru +554 other locations                                         , "Skill Development, Salary"
PwC                                                                             ,    3.3, (12.7k), Management Consulting | Bengaluru +137 other locations                            , "Promotions, Work Life Balance, Work Satisfaction"
HDFC Life                                                                       ,    3.8, (12.1k), Insurance | Mumbai +717 other locations                                           , Skill Development
Infosys BPM                                                                     ,    3.5, (12.1k), BPO | Bengaluru +95 other locations                                               , Job Security
Mahindra & Mahindra                                                             ,    4.0, (12.1k), Automobile | Pune +565 other locations                                            , "Job Security, Skill Development, Company Culture"
DXC Technology                                                                  ,    3.6, (12k)  , IT Services & Consulting | Bengaluru +130 other locations                         , Work Life Balance
Bandhan Bank                                                                    ,    3.7, (11.2k), Banking | Kolkata +1014 other locations                                           , "Promotions, Work Satisfaction, Skill Development"
Digitide Solutions                                                              ,    3.5, (10.4k), IT Services & Consulting | Hyderabad +274 other locations                         , "Promotions, Salary, Work Satisfaction"
Mphasis                                                                         ,    3.3, (10.3k), IT Services & Consulting | Bengaluru +64 other locations                          , "Promotions, Salary, Work Satisfaction"
Yes Bank                                                                        ,    3.7, (10.2k), Banking | Mumbai +541 other locations                                             , "Job Security, Promotions, Company Culture"
Tata Steel                                                                      ,    4.0, (9.9k) , Iron & Steel | Jamshedpur +226 other locations                                    , "Work Life Balance, Job Security, Company Culture"
Quess                                                                           ,    3.8, (9.8k) , Recruitment | Bengaluru +758 other locations                                      , "Promotions, Job Security"
Asian Paints                                                                    ,    3.9, (9.6k) , Chemicals | Mumbai +556 other locations                                           , "Salary, Skill Development, Job Security"
Maruti Suzuki                                                                   ,    4.1, (9.6k) , Automobile | Gurugram +457 other locations                                        , "Job Security, Salary, Skill Development"
Startek                                                                         ,    3.0, (9.5k) , BPO | Bengaluru +104 other locations                                              , "Promotions, Work Satisfaction, Salary"
UltraTech Cement                                                                ,    4.1, (9.5k) , Building Material | Mumbai +539 other locations                                   , "Job Security, Skill Development, Company Culture"
Paytm                                                                           ,    3.2, (9.4k) , FinTech | Noida +425 other locations                                              , "Job Security, Promotions, Company Culture"
Bajaj Finance                                                                   ,    3.9, (9.3k) , NBFC | Pune +999 other locations                                                  , "Salary, Skill Development, Job Security"
Shriram Finance                                                                 ,    3.9, (9.2k) , NBFC | Chennai +1119 other locations                                              , "Job Security, Company Culture, Work Life Balance"
Sutherland Global Services                                                      ,    3.4, (9.1k) , BPO | Chennai +82 other locations                                                 , "Promotions, Work Satisfaction, Skill Development"
Equitas Small Finance Bank                                                      ,    4.3, (8.9k) , Banking | Chennai +486 other locations                                            , "Job Security, Company Culture, Work Life Balance"
Wells Fargo                                                                     ,    3.6, (8.7k) , Financial Services | Bengaluru +27 other locations                                , Work Life Balance
EXL Service                                                                     ,    3.6, (8.7k) , Analytics & KPO | Noida +61 other locations                                       , Job Security
Cipla                                                                           ,    4.1, (8.6k) , Pharma | Mumbai +294 other locations                                              , "Salary, Work Life Balance, Skill Development"
Ericsson                                                                        ,    3.9, (8.4k) , Telecom | Noida +161 other locations                                              , "Work Life Balance, Company Culture"
Samsung                                                                         ,    3.9, (8.3k) , Consumer Electronics & Appliances | Noida +581 other locations                    , Salary
